"St.no","TAM","month","year","scaled.temp","month.human","scaled"
99710,0.3,3,1974,0,"March",2.08752021139189
99710,-5.5,3,1975,0,"March",0.422050582930787
99710,-2.2,3,1976,0,"March",1.36964537153797
99710,-9.4,3,1978,0,"March",-0.697834167241337
99710,-5.2,3,1979,0,"March",0.508195563713258
99710,-6.7,3,1980,0,"March",0.0774706598009027
99710,-3.6,3,1982,0,"March",0.96763546121977
99710,-2.9,3,1983,0,"March",1.16864041637887
99710,-7.5,3,1984,0,"March",-0.152249288952353
99710,-4.9,3,1985,0,"March",0.594340544495729
99710,-4.7,3,1986,0,"March",0.651770531684043
99710,-5.6,3,1987,0,"March",0.39333558933663
99710,-8.9,3,1988,0,"March",-0.554259199270552
99710,-6.8,3,1989,0,"March",0.0487556662067458
99710,-6,3,1990,0,"March",0.278475614960002
99710,-4.8,3,1991,0,"March",0.623055538089886
99710,-4.6,3,1992,0,"March",0.6804855252782
99710,-6.6,3,1993,0,"March",0.10618565339506
99710,-4,3,1994,0,"March",0.852775486843142
99710,-5.3,3,1995,0,"March",0.479480570119101
99710,-3.8,3,1996,0,"March",0.910205474031456
99710,-5.5,3,1997,0,"March",0.422050582930787
99710,-6.9,3,1998,0,"March",0.0200406726125886
99710,-2.4,3,1999,0,"March",1.31221538434965
99710,-7.2,3,2002,0,"March",-0.0661043081698824
99710,-8.3,3,2003,0,"March",-0.38196923770561
99710,-1.3,3,2004,0,"March",1.62808031388538
99710,-7.2,3,2005,0,"March",-0.0661043081698824
99710,-7.4,3,2006,0,"March",-0.123534295358196
99710,-2,3,2007,0,"March",1.42707535872628
99710,-6.4,3,2008,0,"March",0.163615640583374
99710,-4.2,3,2009,0,"March",0.795345499654828
99710,-8.6,3,2010,0,"March",-0.468114218488081
99710,-4.7,3,2011,0,"March",0.651770531684043
99710,-1.7,3,2012,0,"March",1.51322033950875
99710,-8.5,3,2013,0,"March",-0.439399224893924
99710,-3.8,3,2014,0,"March",0.910205474031456
99710,-1.2,3,2015,0,"March",1.65679530747954
99710,-7.4,4,1920,0,"April",-0.901532653964644
99710,-3.6,4,1921,0,"April",0.564713945082623
99710,-6,4,1922,0,"April",-0.361336538526177
99710,-4.8,4,1923,0,"April",0.101688703278223
99710,-8.5,4,1924,0,"April",-1.32597245895201
99710,-5.3,4,1925,0,"April",-0.0912384808069434
99710,-5.8,4,1926,0,"April",-0.28416566489211
99710,-7.8,4,1927,0,"April",-1.05587440123278
99710,-5.9,4,1928,0,"April",-0.322751101709144
99710,-3.1,4,1930,0,"April",0.75764112916779
99710,-2.1,4,1931,0,"April",1.14349549733812
99710,-6.7,4,1933,0,"April",-0.63143459624541
99710,-7.4,4,1934,0,"April",-0.901532653964644
99710,-5,4,1935,0,"April",0.0245178296441566
99710,-5.5,4,1936,0,"April",-0.16840935444101
99710,-1.5,4,1937,0,"April",1.37500811824032
99710,-4.5,4,1938,0,"April",0.217445013729323
99710,-5.1,4,1939,0,"April",-0.0140676071728766
99710,-10.4,4,1940,0,"April",-2.05909575847564
99710,-7.5,4,1941,0,"April",-0.940118090781677
99710,-7.7,4,1942,0,"April",-1.01728896441574
99710,-6.4,4,1943,0,"April",-0.51567828579431
99710,-7.5,4,1944,0,"April",-0.940118090781677
99710,-3.9,4,1945,0,"April",0.448957634631523
99710,-5,4,1946,0,"April",0.0245178296441566
99710,-6.8,4,1947,0,"April",-0.670020033062443
99710,-5,4,1948,0,"April",0.0245178296441566
99710,-5.8,4,1949,0,"April",-0.28416566489211
99710,-2.4,4,1950,0,"April",1.02773918688702
99710,-6.1,4,1951,0,"April",-0.39992197534321
99710,-5.3,4,1952,0,"April",-0.0912384808069434
99710,-9.5,4,1953,0,"April",-1.71182682712234
99710,-2.4,4,1954,0,"April",1.02773918688702
99710,-4.6,4,1955,0,"April",0.17885957691229
99710,-4.7,4,1956,0,"April",0.140274140095257
99710,-2.6,4,1957,0,"April",0.950568313252957
99710,-4.3,4,1958,0,"April",0.29461588736339
99710,-4.6,4,1959,0,"April",0.17885957691229
99710,-1.3,4,1960,0,"April",1.45217899187439
99710,-9,4,1961,0,"April",-1.51889964303718
99710,-7.1,4,1962,0,"April",-0.785776343513543
99710,-8.8,4,1963,0,"April",-1.44172876940311
99710,-4.5,4,1964,0,"April",0.217445013729323
99710,-3.5,4,1965,0,"April",0.603299381899657
99710,-5.3,4,1966,0,"April",-0.0912384808069434
99710,-4.5,4,1967,0,"April",0.217445013729323
99710,-6.9,4,1968,0,"April",-0.708605469879477
99710,-8.6,4,1969,0,"April",-1.36455789576904
99710,-6.2,4,1970,0,"April",-0.438507412160244
99710,-6.4,4,1971,0,"April",-0.51567828579431
99710,-6.2,4,1972,0,"April",-0.438507412160244
99710,-4,4,1973,0,"April",0.41037219781449
99710,-2.8,4,1974,0,"April",0.87339743961889
99710,-5,4,1975,0,"April",0.0245178296441566
99710,-4.1,4,1976,0,"April",0.371786760997457
99710,-8.9,4,1977,0,"April",-1.48031420622014
99710,-5,4,1978,0,"April",0.0245178296441566
99710,-6.8,4,1979,0,"April",-0.670020033062443
99710,-3,4,1980,0,"April",0.796226565984823
99710,-6.5,4,1981,0,"April",-0.554263722611343
99710,-3.6,4,1982,0,"April",0.564713945082623
99710,-2.9,4,1983,0,"April",0.834812002801857
99710,-1.8,4,1984,0,"April",1.25925180778922
99710,-7.6,4,1985,0,"April",-0.97870352759871
99710,-6.7,4,1986,0,"April",-0.63143459624541
99710,-3,4,1987,0,"April",0.796226565984823
99710,-9.4,4,1988,0,"April",-1.67324139030531
99710,-1.6,4,1989,0,"April",1.33642268142329
99710,-3.1,4,1990,0,"April",0.75764112916779
99710,-3.7,4,1991,0,"April",0.52612850826559
99710,-2.2,4,1992,0,"April",1.10491006052109
99710,-6.2,4,1993,0,"April",-0.438507412160244
99710,-1.3,4,1994,0,"April",1.45217899187439
99710,-3.9,4,1995,0,"April",0.448957634631523
